Type,Line,Space,ID,Origin,InitialOrigin,Reference1,Reference2,Reference3,Tags,Roles,MaxUnauthorised,NumberReference1,NumberReference2,NumberReference3
Image,0,6,07bf1098-3011-4bfa-9292-88686762f1fb,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/trt-tijdschriften/oclc-72820760-trt-435-t-h-mededelingen/jaargang-09-20/tif/1961-62-jaargang-9/01/T_H_Mededelingen_Jaarg_01_00001.tif,,th-mededelingen,1961,1,,,-1,0,,
Image,1,6,33d02f97-6bbf-4f25-add0-dca15846eac7,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/trt-tijdschriften/oclc-72820760-trt-435-t-h-mededelingen/jaargang-09-20/tif/1961-62-jaargang-9/01/T_H_Mededelingen_Jaarg_01_00002.tif,,th-mededelingen,1961,1,,,-1,1,,
Image,2,6,e4638442-df16-4707-aa2b-de5037ef3773,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/trt-tijdschriften/oclc-72820760-trt-435-t-h-mededelingen/jaargang-09-20/tif/1961-62-jaargang-9/01/T_H_Mededelingen_Jaarg_01_00003.tif,,th-mededelingen,1961,1,,,-1,2,,
Image,3,6,9085fda7-9d88-4472-9e5c-d354a1de5bf0,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/trt-tijdschriften/oclc-72820760-trt-435-t-h-mededelingen/jaargang-09-20/tif/1961-62-jaargang-9/01/T_H_Mededelingen_Jaarg_01_00004.tif,,th-mededelingen,1961,1,,,-1,3,,
Image,4,6,89370983-93e0-4a5a-af01-2f4f23a14fd8,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/trt-tijdschriften/oclc-72820760-trt-435-t-h-mededelingen/jaargang-09-20/tif/1961-62-jaargang-9/01/T_H_Mededelingen_Jaarg_01_00005.tif,,th-mededelingen,1961,1,,,-1,4,,
Image,5,6,80f93d7e-42e3-4d15-827c-dc66a16fe9c2,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/trt-tijdschriften/oclc-72820760-trt-435-t-h-mededelingen/jaargang-09-20/tif/1961-62-jaargang-9/01/T_H_Mededelingen_Jaarg_01_00006.tif,,th-mededelingen,1961,1,,,-1,5,,
Image,6,6,e5df307c-e168-4eee-ab1e-371885d3c23a,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/trt-tijdschriften/oclc-72820760-trt-435-t-h-mededelingen/jaargang-09-20/tif/1961-62-jaargang-9/01/T_H_Mededelingen_Jaarg_01_00007.tif,,th-mededelingen,1961,1,,,-1,6,,
Image,7,6,0ccc294c-3998-4aa5-8c59-77f9c5e73861,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/trt-tijdschriften/oclc-72820760-trt-435-t-h-mededelingen/jaargang-09-20/tif/1961-62-jaargang-9/01/T_H_Mededelingen_Jaarg_01_00008.tif,,th-mededelingen,1961,1,,,-1,7,,
Image,8,6,e5a88ada-95a1-4ac4-8eb3-722850e4876d,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/trt-tijdschriften/oclc-72820760-trt-435-t-h-mededelingen/jaargang-09-20/tif/1961-62-jaargang-9/02/T_H_Mededelingen_Jaarg_02_00001.tif,,th-mededelingen,1961,2,,,-1,8,,
Image,9,6,7a71f818-f7dc-46b8-be03-b3b40622f7ea,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/trt-tijdschriften/oclc-72820760-trt-435-t-h-mededelingen/jaargang-09-20/tif/1961-62-jaargang-9/02/T_H_Mededelingen_Jaarg_02_00002.tif,,th-mededelingen,1961,2,,,-1,9,,
