Type,Line,Space,ID,Origin,InitialOrigin,Reference1,Reference2,Reference3,Tags,Roles,MaxUnauthorised,NumberReference1,NumberReference2,NumberReference3
Image,0,6,c024f944-df48-4c98-8272-f563f02e1e6a,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/nl-integraal/tif/1984/01/Delta%20Integraal_1984_01_001.tif,,nl-integraal,1984,01,,,-1,0,,
Image,1,6,5d1f37e6-a146-4c0f-8848-82c3f299a721,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/nl-integraal/tif/1984/01/Delta%20Integraal_1984_01_002.tif,,nl-integraal,1984,01,,,-1,1,,
Image,2,6,5d3a6b6e-ca20-4ae9-bcc8-700cf1967bfb,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/nl-integraal/tif/1984/01/Delta%20Integraal_1984_01_003.tif,,nl-integraal,1984,01,,,-1,2,,
Image,3,6,43c18941-18ea-49eb-9b8c-2641717fa831,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/nl-integraal/tif/1984/01/Delta%20Integraal_1984_01_004.tif,,nl-integraal,1984,01,,,-1,3,,
Image,4,6,427e5fad-8145-43f4-a2b4-4576c0761225,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/nl-integraal/tif/1984/01/Delta%20Integraal_1984_01_005.tif,,nl-integraal,1984,01,,,-1,4,,
Image,5,6,6fc34347-eea0-4d71-b8e3-9ee5d878ef49,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/nl-integraal/tif/1984/01/Delta%20Integraal_1984_01_006.tif,,nl-integraal,1984,01,,,-1,5,,
Image,6,6,facf215e-db97-409d-aa75-6c3b7bab5729,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/nl-integraal/tif/1984/01/Delta%20Integraal_1984_01_007.tif,,nl-integraal,1984,01,,,-1,6,,
Image,7,6,63395995-da3b-435d-a886-9128880c5013,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/nl-integraal/tif/1984/01/Delta%20Integraal_1984_01_008.tif,,nl-integraal,1984,01,,,-1,7,,
Image,8,6,05f34bb0-6161-4603-a1bc-a679eb875a21,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/nl-integraal/tif/1984/01/Delta%20Integraal_1984_01_009.tif,,nl-integraal,1984,01,,,-1,8,,
Image,9,6,2e3688c9-4b4e-4fe8-8501-269cd10289ad,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/nl-integraal/tif/1984/01/Delta%20Integraal_1984_01_010.tif,,nl-integraal,1984,01,,,-1,9,,
