Type,Line,Space,ID,Origin,InitialOrigin,Reference1,Reference2,Reference3,Tags,Roles,MaxUnauthorised,NumberReference1,NumberReference2,NumberReference3
Image,0,6,89382f22-1d0d-438e-9117-61330dbbed24,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/01/Delta%20Outlook_1985_01_001.tif,,en-outlook,1985,01,,,-1,0,,
Image,1,6,e43c3a1c-0d0f-46f5-a67b-f4ffd31484fd,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/01/Delta%20Outlook_1985_01_002.tif,,en-outlook,1985,01,,,-1,1,,
Image,2,6,c6aaa084-14c0-4607-a1e9-8232ed71ad24,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/01/Delta%20Outlook_1985_01_003.tif,,en-outlook,1985,01,,,-1,2,,
Image,3,6,f1cb843c-2d84-432a-b2f4-ab4bb9272e34,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/01/Delta%20Outlook_1985_01_004.tif,,en-outlook,1985,01,,,-1,3,,
Image,4,6,ae8cee0b-cb73-4f5a-b65f-f9e9f69e3f42,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/01/Delta%20Outlook_1985_01_005.tif,,en-outlook,1985,01,,,-1,4,,
Image,5,6,d7d049f3-52de-4fc7-ae6a-44661ce3b668,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/01/Delta%20Outlook_1985_01_006.tif,,en-outlook,1985,01,,,-1,5,,
Image,6,6,ba91fee6-b253-4dcb-a059-b9cca0d9426c,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/01/Delta%20Outlook_1985_01_007.tif,,en-outlook,1985,01,,,-1,6,,
Image,7,6,2e90d205-8504-4a39-867a-ee52eb3df0ff,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/01/Delta%20Outlook_1985_01_008.tif,,en-outlook,1985,01,,,-1,7,,
Image,8,6,25d0f3f0-dc0f-4d56-98ad-be34b1f12476,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/01/Delta%20Outlook_1985_01_009.tif,,en-outlook,1985,01,,,-1,8,,
Image,9,6,66703a70-bc69-48b9-9d84-84aa32c5cc4a,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/01/Delta%20Outlook_1985_01_010.tif,,en-outlook,1985,01,,,-1,9,,
Image,10,6,4f08da74-bdce-4fd3-9fb7-504a0ad81037,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/01/Delta%20Outlook_1985_01_011.tif,,en-outlook,1985,01,,,-1,10,,
Image,11,6,729be542-c948-474a-81c4-97bcfeae086e,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/01/Delta%20Outlook_1985_01_012.tif,,en-outlook,1985,01,,,-1,11,,
Image,12,6,9d7879d6-888c-4440-955b-892f0ca6ea46,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/01/Delta%20Outlook_1985_01_013.tif,,en-outlook,1985,01,,,-1,12,,
Image,13,6,03644902-4d1b-4e89-8df2-f888f290c507,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/01/Delta%20Outlook_1985_01_014.tif,,en-outlook,1985,01,,,-1,13,,
Image,14,6,fb1405d9-3db5-4063-913b-57e84ae615d1,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/01/Delta%20Outlook_1985_01_015.tif,,en-outlook,1985,01,,,-1,14,,
Image,15,6,0959ac1b-f743-47a3-a278-89498974b3ee,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/01/Delta%20Outlook_1985_01_016.tif,,en-outlook,1985,01,,,-1,15,,
Image,16,6,dc1e1c6b-1f9c-42c3-be7f-bca94b508620,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/01/Delta%20Outlook_1985_01_017.tif,,en-outlook,1985,01,,,-1,16,,
Image,17,6,023b3d87-e3cb-4da3-b8a0-75a0d3d74bdb,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/01/Delta%20Outlook_1985_01_018.tif,,en-outlook,1985,01,,,-1,17,,
Image,18,6,018626f5-a62a-4324-aa37-31ec15566ba8,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/01/Delta%20Outlook_1985_01_019.tif,,en-outlook,1985,01,,,-1,18,,
Image,19,6,c508e78e-79fe-4e5e-a8ed-5e1fdf35adae,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/01/Delta%20Outlook_1985_01_020.tif,,en-outlook,1985,01,,,-1,19,,
Image,20,6,7b4df765-9c09-412b-8660-029d5cb61e8f,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/01/Delta%20Outlook_1985_01_021.tif,,en-outlook,1985,01,,,-1,20,,
Image,21,6,0c5f0caa-596c-48fe-8d5c-d1067d7b4724,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/01/Delta%20Outlook_1985_01_022.tif,,en-outlook,1985,01,,,-1,21,,
Image,22,6,64290fef-4c8b-48b8-adec-5b9ae1ebd099,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/02/Delta%20Outlook_1985_02_001.tif,,en-outlook,1985,02,,,-1,22,,
Image,23,6,85532c74-4dac-4331-9688-db41806941c3,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/02/Delta%20Outlook_1985_02_002.tif,,en-outlook,1985,02,,,-1,23,,
Image,24,6,6e055d81-e4bf-4bab-88d2-2a62f74ef245,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/02/Delta%20Outlook_1985_02_003.tif,,en-outlook,1985,02,,,-1,24,,
Image,25,6,2f861dc8-5ef6-49e1-9824-7d17683e273d,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/02/Delta%20Outlook_1985_02_004.tif,,en-outlook,1985,02,,,-1,25,,
Image,26,6,d26e92f6-f674-4fc0-835a-b9c291590eca,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/02/Delta%20Outlook_1985_02_005.tif,,en-outlook,1985,02,,,-1,26,,
Image,27,6,923ddd42-56b1-4858-9f9e-5cc28ac6adb8,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/02/Delta%20Outlook_1985_02_006.tif,,en-outlook,1985,02,,,-1,27,,
Image,28,6,01437ce8-2652-4806-9a7b-d39e23ff45ae,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72722627-delft-integraal-outlook/en-outlook/tif/1985/02/Delta%20Outlook_1985_02_007.tif,,en-outlook,1985,02,,,-1,28,,
