Type,Line,Space,ID,Origin,InitialOrigin,Reference1,Reference2,Reference3,Tags,Roles,MaxUnauthorised,NumberReference1,NumberReference2,NumberReference3
Image,0,6,983e0e40-a908-4234-bbbb-44e2065d632a,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/01/THD%20Nieuws_1969_01_001.tif,,thd-nieuws,1969,1,,,-1,0,,
Image,1,6,17d894db-e6a0-46a5-9168-62a5727a03bb,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/01/THD%20Nieuws_1969_01_002.tif,,thd-nieuws,1969,1,,,-1,1,,
Image,2,6,1ea09206-7650-4b21-8e16-e0ab93e64a8d,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/02/THD%20Nieuws_1969_02_001.tif,,thd-nieuws,1969,2,,,-1,2,,
Image,3,6,be4b5a5d-dc0d-48db-ac37-48a39574560c,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/02/THD%20Nieuws_1969_02_002.tif,,thd-nieuws,1969,2,,,-1,3,,
Image,4,6,fbc2de9e-b737-4807-8214-465376bff0a4,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/02/THD%20Nieuws_1969_02_003.tif,,thd-nieuws,1969,2,,,-1,4,,
Image,5,6,13c6a5b6-52ec-4ced-bcae-bc1a2878d77e,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/02/THD%20Nieuws_1969_02_004.tif,,thd-nieuws,1969,2,,,-1,5,,
Image,6,6,b9b5cf37-ca91-4684-a801-3ccdfd7a9921,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/03/THD%20Nieuws_1969_03_001.tif,,thd-nieuws,1969,3,,,-1,6,,
Image,7,6,5c3a75a3-ac35-49e1-95ca-a3fdbf642b4c,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/03/THD%20Nieuws_1969_03_002.tif,,thd-nieuws,1969,3,,,-1,7,,
Image,8,6,65a418d4-778f-4df7-95a4-876b53905271,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/03/THD%20Nieuws_1969_03_003.tif,,thd-nieuws,1969,3,,,-1,8,,
Image,9,6,baaa1341-1e87-492d-9ea6-1a651c49e330,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/03/THD%20Nieuws_1969_03_004.tif,,thd-nieuws,1969,3,,,-1,9,,
Image,10,6,25689604-a48c-4ca8-970e-d2d555f2aa71,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/04/THD%20Nieuws_1969_04_001.tif,,thd-nieuws,1969,4,,,-1,10,,
Image,11,6,c6e4ddc0-b8dc-4d1f-a04d-dcb34458fef6,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/04/THD%20Nieuws_1969_04_002.tif,,thd-nieuws,1969,4,,,-1,11,,
Image,12,6,ca614754-7539-446d-8eac-eb1eaa4725cc,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/04/THD%20Nieuws_1969_04_003.tif,,thd-nieuws,1969,4,,,-1,12,,
Image,13,6,b8deaa46-95b8-4eb1-bc88-d0627af1b5b1,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/04/THD%20Nieuws_1969_04_004.tif,,thd-nieuws,1969,4,,,-1,13,,
Image,14,6,22a4e2bc-26d7-4eed-a209-10b53e707f43,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/05/THD%20Nieuws_1969_05_001.tif,,thd-nieuws,1969,5,,,-1,14,,
Image,15,6,2c7da184-3952-4bc8-aeb7-55cf00309fe7,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/05/THD%20Nieuws_1969_05_002.tif,,thd-nieuws,1969,5,,,-1,15,,
Image,16,6,e760ad1e-7201-4924-a940-e256cbf1aef6,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/05/THD%20Nieuws_1969_05_003.tif,,thd-nieuws,1969,5,,,-1,16,,
Image,17,6,02b6446f-1157-4a2b-9d9b-b2a25e559b3b,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/05/THD%20Nieuws_1969_05_004.tif,,thd-nieuws,1969,5,,,-1,17,,
Image,18,6,80f50143-8d45-48da-bd08-9e12c42e2062,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/07/THD%20Nieuws_1969_07_001.tif,,thd-nieuws,1969,7,,,-1,18,,
Image,19,6,d50292f2-857c-4a07-9981-b86d1998ec11,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/07/THD%20Nieuws_1969_07_002.tif,,thd-nieuws,1969,7,,,-1,19,,
Image,20,6,8c46c05e-ac66-40de-981a-1d777a880d61,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/07/THD%20Nieuws_1969_07_003.tif,,thd-nieuws,1969,7,,,-1,20,,
Image,21,6,4617d0e4-63a0-4b83-b5ef-004f2ca64605,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/07/THD%20Nieuws_1969_07_004.tif,,thd-nieuws,1969,7,,,-1,21,,
Image,22,6,f8cca8bc-63b6-496f-9155-5affdd34b657,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/07/THD%20Nieuws_1969_07_005.tif,,thd-nieuws,1969,7,,,-1,22,,
Image,23,6,4ffe4c53-eeb8-466f-a68e-8d2f65c951bc,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/07/THD%20Nieuws_1969_07_006.tif,,thd-nieuws,1969,7,,,-1,23,,
Image,24,6,84585f86-6e28-4f68-8920-775cf5cea1a7,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/08/THD%20Nieuws_1969_08_001.tif,,thd-nieuws,1969,8,,,-1,24,,
Image,25,6,48220816-3e7d-470f-b95b-6b67a34d62ab,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/08/THD%20Nieuws_1969_08_002.tif,,thd-nieuws,1969,8,,,-1,25,,
Image,26,6,62c612e0-48a0-49cc-9ad5-b372dce0d204,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/08/THD%20Nieuws_1969_08_003.tif,,thd-nieuws,1969,8,,,-1,26,,
Image,27,6,5f74edba-06a2-4ff0-9a89-87cea3e3e2c7,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/08/THD%20Nieuws_1969_08_004.tif,,thd-nieuws,1969,8,,,-1,27,,
Image,28,6,f303d956-54da-4afe-9457-bcdf2aa998ae,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/08/THD%20Nieuws_1969_08_005.tif,,thd-nieuws,1969,8,,,-1,28,,
Image,29,6,2b03a405-b167-48bb-8746-72ae1ecd34aa,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969/08/THD%20Nieuws_1969_08_006.tif,,thd-nieuws,1969,8,,,-1,29,,
Image,30,6,76616ce4-b4df-4021-98a9-91af9d3753bf,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/01/THD%20Nieuws_1969-1970_01_001.tif,,thd-nieuws,1970,1,,,-1,30,,
Image,31,6,9e0ac94e-6ec6-4209-881f-468ecf895cde,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/01/THD%20Nieuws_1969-1970_01_002.tif,,thd-nieuws,1970,1,,,-1,31,,
Image,32,6,e32bf3f6-c246-4552-80d7-7dd99ac4ad02,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/01/THD%20Nieuws_1969-1970_01_003.tif,,thd-nieuws,1970,1,,,-1,32,,
Image,33,6,8f4c96d4-1f5f-4644-b7c7-99bc4accbb88,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/01/THD%20Nieuws_1969-1970_01_004.tif,,thd-nieuws,1970,1,,,-1,33,,
Image,34,6,03b06be2-0d4e-4613-9fea-dba346155625,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/01/THD%20Nieuws_1969-1970_01_005.tif,,thd-nieuws,1970,1,,,-1,34,,
Image,35,6,5a0f7de1-a00b-4286-9e72-12510e93aa94,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/01/THD%20Nieuws_1969-1970_01_006.tif,,thd-nieuws,1970,1,,,-1,35,,
Image,36,6,8e0bdf69-3753-4b7e-8997-25742362a3e6,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/02/THD%20Nieuws_1969-1970_02_001.tif,,thd-nieuws,1970,2,,,-1,36,,
Image,37,6,bda624f8-dc98-474f-90f1-237cd2e2c730,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/02/THD%20Nieuws_1969-1970_02_002.tif,,thd-nieuws,1970,2,,,-1,37,,
Image,38,6,ffaa57ba-6acd-45c3-8bd5-0a1adb717388,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/02/THD%20Nieuws_1969-1970_02_003.tif,,thd-nieuws,1970,2,,,-1,38,,
Image,39,6,d8990267-8774-4506-bc8e-bb417b50dba7,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/02/THD%20Nieuws_1969-1970_02_004.tif,,thd-nieuws,1970,2,,,-1,39,,
Image,40,6,bcffbd94-86d0-4885-868a-deb40bfc55a9,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/03/THD%20Nieuws_1969-1970_03_001.tif,,thd-nieuws,1970,3,,,-1,40,,
Image,41,6,9378491e-9ddd-4c94-8b6d-8b79ffec2467,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/03/THD%20Nieuws_1969-1970_03_002.tif,,thd-nieuws,1970,3,,,-1,41,,
Image,42,6,bd713f5d-8bbd-44ac-b39d-041e6a7de206,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/03/THD%20Nieuws_1969-1970_03_003.tif,,thd-nieuws,1970,3,,,-1,42,,
Image,43,6,77eb5434-f63a-41b8-b526-53a2631fd58e,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/03/THD%20Nieuws_1969-1970_03_004.tif,,thd-nieuws,1970,3,,,-1,43,,
Image,44,6,53b30654-3f27-4dd2-be90-90b9ee380fc8,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/04/THD%20Nieuws_1969-1970_04_001.tif,,thd-nieuws,1970,4,,,-1,44,,
Image,45,6,9bb00903-2b5f-4bab-ad64-61d8c582ee29,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/04/THD%20Nieuws_1969-1970_04_002.tif,,thd-nieuws,1970,4,,,-1,45,,
Image,46,6,36aa22e4-a6c7-4ab1-8c77-8cc7d3287508,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/04/THD%20Nieuws_1969-1970_04_003.tif,,thd-nieuws,1970,4,,,-1,46,,
Image,47,6,857b5b78-9e7e-4d06-aa33-3d5e389bf724,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/04/THD%20Nieuws_1969-1970_04_004.tif,,thd-nieuws,1970,4,,,-1,47,,
Image,48,6,fc354f7a-864c-447c-a5f5-b5232a0d13d4,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/04/THD%20Nieuws_1969-1970_04_005.tif,,thd-nieuws,1970,4,,,-1,48,,
Image,49,6,6976ed57-d3f6-4da5-8732-9a5a92a90e46,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/04/THD%20Nieuws_1969-1970_04_006.tif,,thd-nieuws,1970,4,,,-1,49,,
Image,50,6,157ff4b9-6022-4ce0-bba2-f5417f55a3db,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/04/THD%20Nieuws_1969-1970_04_007.tif,,thd-nieuws,1970,4,,,-1,50,,
Image,51,6,bc2c658d-ebc0-4b1a-928c-e95025540f28,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/04/THD%20Nieuws_1969-1970_04_008.tif,,thd-nieuws,1970,4,,,-1,51,,
Image,52,6,70f3bde5-c2e1-4ddd-bed5-abe2f6bd89d3,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/04/THD%20Nieuws_1969-1970_04_009.tif,,thd-nieuws,1970,4,,,-1,52,,
Image,53,6,2cec2831-e05c-4312-8996-e3673ab0d347,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/04/THD%20Nieuws_1969-1970_04_010.tif,,thd-nieuws,1970,4,,,-1,53,,
Image,54,6,9a2f7aeb-560d-4665-ba09-9251e4dbd911,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/05/THD%20Nieuws_1969-1970_05_001.tif,,thd-nieuws,1970,5,,,-1,54,,
Image,55,6,4692ce74-30b7-4fb3-bfc0-8dedd1b19776,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/05/THD%20Nieuws_1969-1970_05_002.tif,,thd-nieuws,1970,5,,,-1,55,,
Image,56,6,416c1b4d-f699-482b-922c-dffc3fca3cc4,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/05/THD%20Nieuws_1969-1970_05_003.tif,,thd-nieuws,1970,5,,,-1,56,,
Image,57,6,51ce600a-0083-4560-b1a6-b883fdd06ffb,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/05/THD%20Nieuws_1969-1970_05_004.tif,,thd-nieuws,1970,5,,,-1,57,,
Image,58,6,6908ad6d-bbaa-4454-baaa-a08c21e15a73,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/05/THD%20Nieuws_1969-1970_05_005.tif,,thd-nieuws,1970,5,,,-1,58,,
Image,59,6,47633ec1-1e79-4b97-9d2c-eafaccf97f53,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/05/THD%20Nieuws_1969-1970_05_006.tif,,thd-nieuws,1970,5,,,-1,59,,
Image,60,6,d574b93b-8c56-4e08-ae7d-4fc281b15a84,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/05/THD%20Nieuws_1969-1970_05_007.tif,,thd-nieuws,1970,5,,,-1,60,,
Image,61,6,34272629-16f0-4007-a13d-15be8459dd38,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/05/THD%20Nieuws_1969-1970_05_008.tif,,thd-nieuws,1970,5,,,-1,61,,
Image,62,6,08bcb748-0924-4a83-86f7-531d8d21d051,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/06/THD%20Nieuws_1969-1970_06_001.tif,,thd-nieuws,1970,6,,,-1,62,,
Image,63,6,090e8c8d-1283-46ce-9271-b9b0820f27ae,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/06/THD%20Nieuws_1969-1970_06_002.tif,,thd-nieuws,1970,6,,,-1,63,,
Image,64,6,7db85236-ba3b-42ac-9f24-fc667946e02d,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/06/THD%20Nieuws_1969-1970_06_003.tif,,thd-nieuws,1970,6,,,-1,64,,
Image,65,6,3a3cf127-711a-4b5a-9c5c-967053405752,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/tresor/txf-leeszaal/oclc-72658033-thd-nieuws/tif/1969-1970/06/THD%20Nieuws_1969-1970_06_004.tif,,thd-nieuws,1970,6,,,-1,65,,
