Type,Line,Space,ID,Origin,InitialOrigin,Reference1,Reference2,Reference3,Tags,Roles,MaxUnauthorised,NumberReference1,NumberReference2,NumberReference3
Image,0,6,e90be0ab-a25f-45f5-8303-1ae501811c8d,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/01/Owee_1998_01_001.tif,,owee,1998,01,,,-1,0,,
Image,1,6,52b66978-c1f8-4603-8638-3521534255b8,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/01/Owee_1998_01_002.tif,,owee,1998,01,,,-1,1,,
Image,2,6,d06c2461-eeb4-410f-95fc-ca53ac75b814,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/01/Owee_1998_01_003.tif,,owee,1998,01,,,-1,2,,
Image,3,6,3eb1e24e-3eb2-4706-9589-ba9f20551bc9,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/01/Owee_1998_01_004.tif,,owee,1998,01,,,-1,3,,
Image,4,6,341ae88c-2118-437f-b31f-c02a43917c9a,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/01/Owee_1998_01_005.tif,,owee,1998,01,,,-1,4,,
Image,5,6,7565db9c-7e09-4e3a-9a0b-a6b59cd6c0e9,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/01/Owee_1998_01_006.tif,,owee,1998,01,,,-1,5,,
Image,6,6,dab7e158-e262-4412-a8e2-8b74c10af38f,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/01/Owee_1998_01_007.tif,,owee,1998,01,,,-1,6,,
Image,7,6,d40655b7-52c1-4f6a-9b46-cb5557224808,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/01/Owee_1998_01_008.tif,,owee,1998,01,,,-1,7,,
Image,8,6,8df0b0ce-aa1a-4493-b6c5-1ef1969996d9,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/02/Owee_1998_02_001.tif,,owee,1998,02,,,-1,8,,
Image,9,6,1b789cfc-7043-4ff1-99f7-fc64d281f331,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/02/Owee_1998_02_002.tif,,owee,1998,02,,,-1,9,,
Image,10,6,402cdc33-ef4d-4b19-95b4-409a57a95fd5,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/02/Owee_1998_02_003.tif,,owee,1998,02,,,-1,10,,
Image,11,6,3b3ad511-d4e3-487b-b55e-1a7b18408e0c,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/02/Owee_1998_02_004.tif,,owee,1998,02,,,-1,11,,
Image,12,6,417d44eb-d736-4eec-ac21-9ef563cf599f,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/02/Owee_1998_02_005.tif,,owee,1998,02,,,-1,12,,
Image,13,6,550f3d70-c05a-4baf-ad16-519d98677acf,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/02/Owee_1998_02_006.tif,,owee,1998,02,,,-1,13,,
Image,14,6,f85b7c37-caa9-4f24-87bc-c1387abf1860,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/02/Owee_1998_02_007.tif,,owee,1998,02,,,-1,14,,
Image,15,6,ee4e837f-c1e7-418a-9303-d6087e7ca410,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/02/Owee_1998_02_008.tif,,owee,1998,02,,,-1,15,,
Image,16,6,53b8d197-d372-45ff-b670-33c06ddf5047,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/03/Owee_1998_03_001.tif,,owee,1998,03,,,-1,16,,
Image,17,6,06b9e242-a94f-4d4f-9b92-c144ea3099c5,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/03/Owee_1998_03_002.tif,,owee,1998,03,,,-1,17,,
Image,18,6,ef7c2c21-fce0-4916-b7e7-742ec9990a03,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/03/Owee_1998_03_003.tif,,owee,1998,03,,,-1,18,,
Image,19,6,ad101592-20f7-4d76-984d-6b68f33a4e3f,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/03/Owee_1998_03_004.tif,,owee,1998,03,,,-1,19,,
Image,20,6,bc588fbf-3f87-4dd7-817f-217597a113e3,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/03/Owee_1998_03_005.tif,,owee,1998,03,,,-1,20,,
Image,21,6,59a17ab5-340a-4cce-99df-0c0b4c7d8dfb,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/03/Owee_1998_03_006.tif,,owee,1998,03,,,-1,21,,
Image,22,6,07dfae78-9eb3-4b07-b222-3a1c43368783,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/03/Owee_1998_03_007.tif,,owee,1998,03,,,-1,22,,
Image,23,6,0197925b-1411-48a0-8978-413092088a70,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/03/Owee_1998_03_008.tif,,owee,1998,03,,,-1,23,,
Image,24,6,ac5ff47f-b645-4f08-9dbf-1b7bb34ffe84,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/04/Owee_1998_04_001.tif,,owee,1998,04,,,-1,24,,
Image,25,6,1353d079-59d3-4afb-829b-1c5bebf3ed39,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/04/Owee_1998_04_002.tif,,owee,1998,04,,,-1,25,,
Image,26,6,377da0ee-622c-4780-b9b5-c628938968d2,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/04/Owee_1998_04_003.tif,,owee,1998,04,,,-1,26,,
Image,27,6,59470a8f-9f3f-4867-b508-5a99c6af7e54,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/04/Owee_1998_04_004.tif,,owee,1998,04,,,-1,27,,
Image,28,6,948c9032-a47e-4533-8a26-f439a30a926a,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/04/Owee_1998_04_005.tif,,owee,1998,04,,,-1,28,,
Image,29,6,dd779ee5-f1c7-4283-a6b3-bd7b2ccff06e,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/04/Owee_1998_04_006.tif,,owee,1998,04,,,-1,29,,
Image,30,6,0c37e79c-2d44-4598-9ca5-1d1d19cf1fb9,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/04/Owee_1998_04_007.tif,,owee,1998,04,,,-1,30,,
Image,31,6,7495201b-8241-4834-8efa-3bf274ecf7d6,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/04/Owee_1998_04_008.tif,,owee,1998,04,,,-1,31,,
Image,32,6,d454afb8-6e53-4ef2-b3bf-e8a19b6b10f8,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/05/Owee_1998_05_001.tif,,owee,1998,05,,,-1,32,,
Image,33,6,9f49fd2b-ed95-408d-a8c7-a47b6fb8bf6d,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/05/Owee_1998_05_002.tif,,owee,1998,05,,,-1,33,,
Image,34,6,c19e8923-ec10-4157-a353-ed608f49bd77,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/05/Owee_1998_05_003.tif,,owee,1998,05,,,-1,34,,
Image,35,6,e95ccaa5-127b-41cc-9260-36f92dea3c87,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/05/Owee_1998_05_004.tif,,owee,1998,05,,,-1,35,,
Image,36,6,7d4ed833-47a2-4d77-8bbf-6197a80bdf44,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/05/Owee_1998_05_005.tif,,owee,1998,05,,,-1,36,,
Image,37,6,c4cc33f0-35a2-4205-890d-dbc9fa0541b5,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/05/Owee_1998_05_006.tif,,owee,1998,05,,,-1,37,,
Image,38,6,63cfbe13-4503-4806-8c08-936a8a8ca3ce,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/05/Owee_1998_05_007.tif,,owee,1998,05,,,-1,38,,
Image,39,6,b8095457-df25-44b9-9b55-f1fe8d0eeaba,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/05/Owee_1998_05_008.tif,,owee,1998,05,,,-1,39,,
Image,40,6,8452288e-fb9e-472c-9546-af08e0f4e5b3,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/05/Owee_1998_05_009.tif,,owee,1998,05,,,-1,40,,
Image,41,6,e6abd2a1-5665-445f-8cb1-4d42948ae360,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/05/Owee_1998_05_010.tif,,owee,1998,05,,,-1,41,,
Image,42,6,519ab323-cc8d-47cf-8ba5-be82234742d7,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/05/Owee_1998_05_011.tif,,owee,1998,05,,,-1,42,,
Image,43,6,965b7cb7-b006-4296-85a7-185f356c1628,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/05/Owee_1998_05_012.tif,,owee,1998,05,,,-1,43,,
Image,44,6,d1295978-5d40-484a-af66-f46e5b5079bf,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/05/Owee_1998_05_013.tif,,owee,1998,05,,,-1,44,,
Image,45,6,7bc96027-773f-499b-ab76-322b375a9399,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-72677405-delta/owee/tif/1998/05/Owee_1998_05_014.tif,,owee,1998,05,,,-1,45,,
